PeakID (cmd=annotatePeaks.pl consensus_peaks.mLb.clN.bed mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_2194	chr18	61978284	61978494	+	0	NA	intron (Sh3tc2, intron 8 of 16)	-intron (Sh3tc2, intron 8 of 16)	25314	Sh3tc2	Sh3tc2	NM_172628			Sh3tc2			NA
Interval_644	chr18	21195833	21196140	+	0	NA	intron (Garem1, intron 2 of 5)	-intron (Garem1, intron 2 of 5)	104153	Garem1	Garem1	NM_001033445			Garem1			NA
Interval_1935	chr18	56903468	56904969	+	0	NA	intron (Marchf3, intron 1 of 4)	-intron (Marchf3, intron 1 of 4)	21297	Marchf3	Marchf3	NM_001374227			Marchf3			NA
Interval_3380	chr18	87028855	87029276	+	0	NA	Intergenic	Intergenic	317000	Cbln2	Cbln2	NM_001361142			Cbln2			NA
Interval_4312	chr19	18761108	18761436	+	0	NA	intron (Trpm6, intron 1 of 38)	-intron (Trpm6, intron 1 of 38)	11542	Trpm6	Trpm6	NR_157571			Trpm6			NA
Interval_5109	chr19	38644960	38645485	+	0	NA	intron (Plce1, intron 2 of 31)	-intron (Plce1, intron 2 of 31)	121025	Plce1	Plce1	NM_019588			Plce1			NA
Interval_2147	chr18	61498271	61498573	+	0	NA	intron (Arhgef37, intron 11 of 12)	-intron (Arhgef37, intron 11 of 12)	-13815	Lncbate10	Lncbate10	NR_045419			Lncbate10			NA
Interval_4418	chr19	23033210	23033449	+	0	NA	Intergenic	Intergenic	-107897	Klf9	Klf9	NM_010638			Klf9			NA
Interval_4179	chr19	16168306	16169102	+	0	NA	exon (E030024N20Rik, exon 1 of 1)	-exon (E030024N20Rik, exon 1 of 1)	4606	E030024N20Rik	E030024N20Rik	NR_033228			E030024N20Rik			NA
Interval_5786	chr19	53261324	53261640	+	0	NA	Intergenic	Intergenic	-6277	1700001K23Rik	1700001K23Rik	NR_036590			1700001K23Rik			NA
Interval_2646	chr18	70796594	70797176	+	0	NA	Intergenic	Intergenic	228593	Mbd2	Mbd2	NM_001311071			Mbd2			NA
Interval_585	chr18	19484296	19484544	+	0	NA	Intergenic	Intergenic	517677	Dsc3	Dsc3	NM_007882			Dsc3			NA
Interval_5167	chr19	40830749	40832308	+	0	NA	intron (Ccnj, intron 1 of 5)	-intron (Ccnj, intron 1 of 5)	249	Ccnj	Ccnj	NM_172839			Ccnj			NA
Interval_205	chr18	7511965	7512773	+	0	NA	intron (Mpp7, intron 4 of 17)	-intron (Mpp7, intron 3 of 16)	95785	Mpp7	Mpp7	NM_001081287			Mpp7			NA
Interval_4427	chr19	23169411	23170176	+	0	NA	Intergenic	Intergenic	20362	Mir1192	Mir1192	NR_035423			Mir1192			NA
Interval_4874	chr19	32885780	32886198	+	0	NA	Intergenic	Intergenic	128412	Pten	Pten	NM_008960			Pten			NA
Interval_1485	chr18	43581836	43582258	+	0	NA	exon (Jakmip2, exon 3 of 22)	-exon (Jakmip2, exon 3 of 22)	105726	Jakmip2	Jakmip2	NM_001163637			Jakmip2			NA
Interval_3444	chr19	3296868	3297243	+	0	NA	Intergenic	Intergenic	8135	Mir6984	Mir6984	NR_105950			Mir6984			NA
Interval_406	chr18	12689605	12689940	+	0	NA	intron (Ttc39c, intron 3 of 13)	-intron (Ttc39c, intron 3 of 13)	-25039	Mir1948	Mir1948	NR_035471			Mir1948			NA
Interval_475	chr18	14063043	14063969	+	0	NA	Intergenic	Intergenic	-90773	Zfp521	Zfp521	NM_001360804			Zfp521			NA
Interval_1161	chr18	35831606	35832081	+	0	NA	intron (Cxxc5, intron 1 of 2)	-intron (Cxxc5, intron 1 of 2)	2055	Cxxc5	Cxxc5	NM_133687			Cxxc5			NA
Interval_3460	chr19	3562696	3562982	+	0	NA	intron (Ppp6r3, intron 1 of 22)	-intron (Ppp6r3, intron 1 of 21)	12910	Ppp6r3	Ppp6r3	NM_001360429			Ppp6r3			NA
Interval_1948	chr18	57275306	57275641	+	0	NA	intron (Megf10, intron 13 of 24)	-intron (Megf10, intron 13 of 24)	-79260	Prrc1	Prrc1	NM_028447			Prrc1			NA
Interval_2181	chr18	61803515	61803822	+	0	NA	intron (Ablim3, intron 22 of 22)	-intron (Ablim3, intron 23 of 23)	-17006	Afap1l1	Afap1l1	NM_178928			Afap1l1			NA
Interval_2479	chr18	67640732	67641999	+	0	NA	promoter-TSS (Cep76)	-promoter-TSS (Cep76)	-10	Cep76	Cep76	NM_001081073			Cep76			NA
Interval_4823	chr19	32263751	32264280	+	0	NA	intron (Sgms1, intron 2 of 9)	-intron (Sgms1, intron 2 of 9)	124497	Sgms1	Sgms1	NM_001168526			Sgms1			NA
Interval_4386	chr19	21799514	21800342	+	0	NA	intron (Cemip2, intron 5 of 24)	-intron (Cemip2, intron 4 of 23)	21588	Cemip2	Cemip2	NM_031997			Cemip2			NA
Interval_1617	chr18	47241090	47241403	+	0	NA	Intergenic	Intergenic	127622	Sema6a	Sema6a	NM_018744			Sema6a			NA
Interval_1538	chr18	45517533	45517900	+	0	NA	intron (Kcnn2, intron 2 of 10)	-intron (Kcnn2, intron 2 of 10)	-42438	Kcnn2	Kcnn2	NM_080465			Kcnn2			NA
Interval_615	chr18	20739845	20740331	+	0	NA	intron (B4galt6, intron 1 of 8)	-intron (B4galt6, intron 1 of 8)	6316	B4galt6	B4galt6	NM_019737			B4galt6			NA
Interval_4447	chr19	23686748	23687986	+	0	NA	promoter-TSS (Ptar1)	-promoter-TSS (Ptar1)	-33	Ptar1	Ptar1	NM_028208			Ptar1			NA
Interval_2906	chr18	76476628	76476965	+	0	NA	Intergenic	Intergenic	235095	Smad2	Smad2	NM_001252481			Smad2			NA
Interval_5803	chr19	53413794	53414348	+	0	NA	Intergenic	Intergenic	-23437	Smndc1	Smndc1	NM_172429			Smndc1			NA
Interval_6204	chr19	59889535	59889832	+	0	NA	Intergenic	Intergenic	53971	Rab11fip2	Rab11fip2	NM_001033172			Rab11fip2			NA
Interval_3270	chr18	83954773	83955639	+	0	NA	Intergenic	Intergenic	131259	Tshz1	Tshz1	NM_001364993			Tshz1			NA
Interval_5532	chr19	46348299	46349687	+	0	NA	promoter-TSS (2310034G01Rik)	-promoter-TSS (2310034G01Rik)	-5	2310034G01Rik	2310034G01Rik	NR_040418			2310034G01Rik			NA
Interval_5723	chr19	50360622	50360930	+	0	NA	intron (Sorcs1, intron 3 of 25)	-intron (Sorcs1, intron 3 of 25)	317870	Sorcs1	Sorcs1	NM_001360457			Sorcs1			NA
Interval_1814	chr18	54342199	54342751	+	0	NA	Intergenic	Intergenic	-79820	Redrum	Redrum	NR_040338			Redrum			NA
Interval_3187	chr18	82618948	82619267	+	0	NA	intron (Zfp236, intron 22 of 29)	-intron (Zfp236, intron 23 of 30)	73808	Zfp236	Zfp236	NM_177832			Zfp236			NA
Interval_4600	chr19	26880036	26880318	+	0	NA	Intergenic	Intergenic	-5748	Gm815	Gm815	NM_001033407			Gm815			NA
Interval_840	chr18	25367536	25368192	+	0	NA	intron (AW554918, intron 8 of 10)	-intron (AW554918, intron 8 of 10)	198844	AW554918	AW554918	NM_001033532			AW554918			NA
Interval_4458	chr19	23956398	23956841	+	0	NA	Intergenic	Intergenic	74400	Fam189a2	Fam189a2	NM_001114174			Fam189a2			NA
Interval_3390	chr18	88216943	88217393	+	0	NA	Intergenic	Intergenic	677039	Socs6	Socs6	NM_018821			Socs6			NA
Interval_1516	chr18	44557944	44558221	+	0	NA	intron (Mcc, intron 3 of 18)	-intron (Mcc, intron 3 of 18)	-103583	A930012L18Rik	A930012L18Rik	NR_026853			A930012L18Rik			NA
Interval_3282	chr18	84149121	84149794	+	0	NA	Intergenic	Intergenic	61299	Zadh2	Zadh2	NM_146090			Zadh2			NA
Interval_981	chr18	32366593	32366859	+	0	NA	intron (A830052D11Rik, intron 2 of 2)	-intron (A830052D11Rik, intron 2 of 2)	-10491	Bin1	Bin1	NM_009668			Bin1			NA
Interval_6029	chr19	56692383	56692695	+	0	NA	Intergenic	Intergenic	-29578	Adrb1	Adrb1	NM_007419			Adrb1			NA
Interval_6116	chr19	58021813	58022217	+	0	NA	intron (Atrnl1, intron 27 of 28)	-intron (Atrnl1, intron 27 of 28)	-29152	Mir5623	Mir5623	NR_049196			Mir5623			NA
Interval_3821	chr19	7310591	7311407	+	0	NA	intron (Mark2, intron 1 of 17)	-intron (Mark2, intron 1 of 16)	30861	Mark2	Mark2	NM_001080388			Mark2			NA
Interval_5768	chr19	53084808	53085330	+	0	NA	TTS (1700054A03Rik)	-TTS (1700054A03Rik)	8817	1700054A03Rik	1700054A03Rik	NR_045320			1700054A03Rik			NA
Interval_3896	chr19	8892695	8893415	+	0	NA	promoter-TSS (Ints5)	-promoter-TSS (Ints5)	68	Ints5	Ints5	NM_176843			Ints5			NA
Interval_4846	chr19	32381387	32382051	+	0	NA	intron (Sgms1, intron 1 of 9)	-intron (Sgms1, intron 1 of 9)	6793	Sgms1	Sgms1	NM_001168526			Sgms1			NA
Interval_2416	chr18	66457983	66459165	+	0	NA	promoter-TSS (Pmaip1)	-promoter-TSS (Pmaip1)	-30	Pmaip1	Pmaip1	NM_021451			Pmaip1			NA
Interval_1482	chr18	43492824	43493244	+	0	NA	Intergenic	Intergenic	-99657	Dpysl3	Dpysl3	NM_009468			Dpysl3			NA
Interval_5877	chr19	54087299	54088042	+	0	NA	Intergenic	Intergenic	42411	Adra2a	Adra2a	NM_007417			Adra2a			NA
Interval_1074	chr18	34513554	34513933	+	0	NA	Intergenic	Intergenic	-6920	Fam13b	Fam13b	NM_146084			Fam13b			NA
Interval_5283	chr19	42668502	42669048	+	0	NA	Intergenic	Intergenic	-55969	Loxl4	Loxl4	NM_053083			Loxl4			NA
Interval_4741	chr19	30095462	30095777	+	0	NA	Intergenic	Intergenic	65106	Uhrf2	Uhrf2	NM_144873			Uhrf2			NA
Interval_1701	chr18	50042230	50042603	+	0	NA	exon (C030005K06Rik, exon 4 of 4)	-exon (C030005K06Rik, exon 4 of 4)	-10866	Tnfaip8	Tnfaip8	NM_001360935			Tnfaip8			NA
Interval_4693	chr19	29267443	29267726	+	0	NA	intron (Jak2, intron 3 of 24)	-intron (Jak2, intron 2 of 23)	15781	Jak2	Jak2	NM_001048177			Jak2			NA
Interval_6187	chr19	59423653	59423885	+	0	NA	Intergenic	Intergenic	34866	Emx2os	Emx2os	NR_002863			Emx2os			NA
Interval_31	chr18	4075216	4075498	+	0	NA	Intergenic	Intergenic	-90475	Lyzl1	Lyzl1	NM_026092			Lyzl1			NA
Interval_2836	chr18	75494570	75495576	+	0	NA	intron (Ctif, intron 9 of 11)	-intron (Ctif, intron 9 of 11)	-19572	Gm10532	Gm10532	NR_045879			Gm10532			NA
Interval_4343	chr19	20975205	20975493	+	0	NA	Intergenic	Intergenic	-21147	Tmc1	Tmc1	NM_028953			Tmc1			NA
Interval_5025	chr19	37233690	37234372	+	0	NA	Intergenic	Intergenic	26486	Marchf5	Marchf5	NM_027314			Marchf5			NA
Interval_1932	chr18	56886218	56886789	+	0	NA	intron (Marchf3, intron 1 of 4)	-intron (Marchf3, intron 1 of 4)	39012	Marchf3	Marchf3	NM_001374227			Marchf3			NA
Interval_3989	chr19	10422238	10422765	+	0	NA	intron (Syt7, intron 4 of 9)	-intron (Syt7, intron 4 of 9)	33411	Syt7	Syt7	NM_173067			Syt7			NA
Interval_4998	chr19	36808525	36808915	+	0	NA	Intergenic	Intergenic	-25512	Tnks2	Tnks2	NM_001163635			Tnks2			NA
Interval_2007	chr18	58555536	58556490	+	0	NA	promoter-TSS (Slc27a6)	-promoter-TSS (Slc27a6)	-227	Slc27a6	Slc27a6	NM_001081072			Slc27a6			NA
Interval_4121	chr19	14308056	14308280	+	0	NA	Intergenic	Intergenic	127782	Gm8630	Gm8630	NR_152176			Gm8630			NA
Interval_295	chr18	10348338	10348842	+	0	NA	intron (Greb1l, intron 1 of 32)	-intron (Greb1l, intron 1 of 32)	23411	Greb1l	Greb1l	NM_001083628			Greb1l			NA
Interval_1799	chr18	53744115	53745488	+	0	NA	promoter-TSS (Cep120)	-promoter-TSS (Cep120)	-193	Cep120	Cep120	NM_178686			Cep120			NA
Interval_2150	chr18	61536030	61537099	+	0	NA	promoter-TSS (Arhgef37)	-promoter-TSS (Arhgef37)	-28	Arhgef37	Arhgef37	NM_177828			Arhgef37			NA
Interval_3038	chr18	79325998	79326388	+	0	NA	Intergenic	Intergenic	-216802	Setbp1	Setbp1	NM_053099			Setbp1			NA
Interval_1440	chr18	42467391	42468166	+	0	NA	Intergenic	Intergenic	-43709	Tcerg1	Tcerg1	NM_001039474			Tcerg1			NA
Interval_1665	chr18	49349788	49350108	+	0	NA	Intergenic	Intergenic	-173341	1700044K03Rik	1700044K03Rik	NR_033785			1700044K03Rik			NA
Interval_1916	chr18	56683182	56683574	+	0	NA	Intergenic	Intergenic	-24435	Lmnb1	Lmnb1	NM_010721			Lmnb1			NA
Interval_3000	chr18	78335510	78336622	+	0	NA	intron (Slc14a2, intron 2 of 21)	-intron (Slc14a2, intron 2 of 11)	-212640	Slc14a1	Slc14a1	NM_001171011			Slc14a1			NA
Interval_1656	chr18	48958120	48958746	+	0	NA	Intergenic	Intergenic	-564856	1700044K03Rik	1700044K03Rik	NR_033785			1700044K03Rik			NA
Interval_4350	chr19	21126946	21127836	+	0	NA	Intergenic	Intergenic	22681	4930554I06Rik	4930554I06Rik	NR_126458			4930554I06Rik			NA
Interval_4501	chr19	24652708	24653823	+	0	NA	Intergenic	Intergenic	-20743	Tmem252	Tmem252	NM_183160			Tmem252			NA
Interval_590	chr18	20058843	20059943	+	0	NA	exon (Dsc2, exon 1 of 18)	-exon (Dsc2, exon 1 of 18)	161	Dsc2	Dsc2	NM_013505			Dsc2			NA
Interval_1226	chr18	36709928	36710116	+	0	NA	Intergenic	Intergenic	-14097	E230025N22Rik	E230025N22Rik	NM_172831			E230025N22Rik			NA
Interval_2563	chr18	69394825	69395575	+	0	NA	intron (Tcf4, intron 3 of 19)	-intron (Tcf4, intron 3 of 19)	50708	Tcf4	Tcf4	NM_001361126			Tcf4			NA
Interval_1335	chr18	38669908	38670305	+	0	NA	Intergenic	Intergenic	-44217	Gm19774	Gm19774	NM_001370889			Gm19774			NA
Interval_418	chr18	12809789	12811436	+	0	NA	intron (Osbpl1a, intron 1 of 11)	-intron (Osbpl1a, intron 4 of 14)	9295	Osbpl1a	Osbpl1a	NR_045524			Osbpl1a			NA
Interval_3528	chr19	4206961	4207301	+	0	NA	Intergenic	Intergenic	-5528	Rad9a	Rad9a	NM_011237			Rad9a			NA
Interval_2712	chr18	73872093	73872692	+	0	NA	intron (Mro, intron 4 of 7)	-intron (Mro, intron 5 of 8)	13007	Mro	Mro	NM_001305882			Mro			NA
Interval_5045	chr19	37555979	37556647	+	0	NA	intron (Exoc6, intron 1 of 21)	-intron (Exoc6, intron 1 of 21)	5895	Exoc6	Exoc6	NM_175353			Exoc6			NA
Interval_3714	chr19	6140512	6141819	+	0	NA	promoter-TSS (Arl2)	-promoter-TSS (Arl2)	-28	Arl2	Arl2	NM_019722			Arl2			NA
Interval_2319	chr18	64961648	64961961	+	0	NA	intron (Nedd4l, intron 1 of 30)	-intron (Nedd4l, intron 1 of 30)	-61723	Nedd4l	Nedd4l	NM_031881			Nedd4l			NA
Interval_5486	chr19	45691070	45691532	+	0	NA	Intergenic	Intergenic	-31108	Fbxw4	Fbxw4	NM_013907			Fbxw4			NA
Interval_1824	chr18	54502325	54502749	+	0	NA	Intergenic	Intergenic	80242	Redrum	Redrum	NR_040338			Redrum			NA
Interval_3115	chr18	80933416	80934348	+	0	NA	exon (Atp9b, exon 1 of 30)	-exon (Atp9b, exon 1 of 30)	176	Atp9b	Atp9b	NM_015805			Atp9b			NA
Interval_4325	chr19	19229530	19230297	+	0	NA	Intergenic	Intergenic	-228796	Rorb	Rorb	NM_001289921			Rorb			NA
Interval_2453	chr18	67311993	67312409	+	0	NA	intron (Impa2, intron 5 of 7)	-intron (Impa2, intron 5 of 7)	22954	Impa2	Impa2	NM_053261			Impa2			NA
Interval_2246	chr18	63299351	63299997	+	0	NA	intron (Piezo2, intron 2 of 53)	-intron (Piezo2, intron 2 of 53)	87509	Piezo2	Piezo2	NM_001039485			Piezo2			NA
Interval_2242	chr18	63208935	63209262	+	0	NA	intron (Piezo2, intron 3 of 53)	-intron (Piezo2, intron 3 of 53)	178085	Piezo2	Piezo2	NM_001039485			Piezo2			NA
Interval_919	chr18	30472371	30474297	+	0	NA	Intergenic	Intergenic	200469	Pik3c3	Pik3c3	NR_151699			Pik3c3			NA
Interval_6141	chr19	58419425	58420067	+	0	NA	intron (Gfra1, intron 4 of 11)	-intron (Gfra1, intron 4 of 9)	35652	Gfra1	Gfra1	NM_001285457			Gfra1			NA
Interval_5995	chr19	56133973	56134526	+	0	NA	Intergenic	Intergenic	-153663	Habp2	Habp2	NM_001329935			Habp2			NA
Interval_3672	chr19	5812078	5812348	+	0	NA	Intergenic	Intergenic	-9541	Malat1	Malat1	NR_002847			Malat1			NA
Interval_846	chr18	25527805	25528250	+	0	NA	intron (Celf4, intron 3 of 13)	-intron (Celf4, intron 3 of 12)	226130	Celf4	Celf4	NM_001362278			Celf4			NA
Interval_3226	chr18	82953869	82954574	+	0	NA	intron (Zfp516, intron 1 of 5)	-intron (Zfp516, intron 1 of 5)	-33661	4930592I03Rik	4930592I03Rik	NR_033307			4930592I03Rik			NA
Interval_4618	chr19	27364090	27364962	+	0	NA	Intergenic	Intergenic	41907	Kcnv2	Kcnv2	NM_183179			Kcnv2			NA
Interval_5482	chr19	45628476	45629077	+	0	NA	intron (Fbxw4, intron 5 of 8)	-intron (Fbxw4, intron 5 of 8)	31417	Fbxw4	Fbxw4	NM_013907			Fbxw4			NA
Interval_3004	chr18	78357406	78358008	+	0	NA	intron (Slc14a2, intron 2 of 21)	-intron (Slc14a2, intron 2 of 11)	-234281	Slc14a1	Slc14a1	NM_001171011			Slc14a1			NA
Interval_6108	chr19	57880549	57880820	+	0	NA	intron (Atrnl1, intron 26 of 28)	-intron (Atrnl1, intron 26 of 28)	-170483	Mir5623	Mir5623	NR_049196			Mir5623			NA
Interval_3769	chr19	6855067	6855693	+	0	NA	exon (Ccdc88b, exon 10 of 27)	-exon (Ccdc88b, exon 10 of 27)	2831	Ccdc88b	Ccdc88b	NM_001081291			Ccdc88b			NA
Interval_3222	chr18	82921666	82922038	+	0	NA	intron (Zfp516, intron 1 of 5)	-intron (Zfp516, intron 1 of 5)	-1292	4930592I03Rik	4930592I03Rik	NR_033307			4930592I03Rik			NA
Interval_1648	chr18	47958077	47958384	+	0	NA	intron (G630055G22Rik, intron 2 of 3)	-intron (G630055G22Rik, intron 2 of 3)	35389	G630055G22Rik	G630055G22Rik	NR_045404			G630055G22Rik			NA
Interval_4429	chr19	23203593	23204315	+	0	NA	Intergenic	Intergenic	54523	Mir1192	Mir1192	NR_035423			Mir1192			NA
Interval_6084	chr19	57482704	57482959	+	0	NA	intron (Trub1, intron 4 of 6)	-intron (Trub1, intron 4 of 7)	-26235	6720468P15Rik	6720468P15Rik	NR_040307			6720468P15Rik			NA
Interval_3007	chr18	78431040	78431641	+	0	NA	intron (Slc14a2, intron 2 of 21)	-intron (Slc14a2, intron 2 of 11)	165610	Slc14a2	Slc14a2	NM_001110273			Slc14a2			NA
Interval_158	chr18	6055419	6056056	+	0	NA	intron (Arhgap12, intron 7 of 17)	-intron (Arhgap12, intron 8 of 18)	80361	Arhgap12	Arhgap12	NM_001039692			Arhgap12			NA
Interval_4115	chr19	14128265	14129244	+	0	NA	Intergenic	Intergenic	209732	Olfr1505	Olfr1505	NM_001011850			Olfr1505			NA
Interval_1917	chr18	56695742	56695963	+	0	NA	Intergenic	Intergenic	-11961	Lmnb1	Lmnb1	NM_010721			Lmnb1			NA
Interval_2765	chr18	74778233	74779586	+	0	NA	promoter-TSS (Acaa2)	-promoter-TSS (Acaa2)	-303	Acaa2	Acaa2	NM_177470			Acaa2			NA
Interval_4726	chr19	29858936	29859219	+	0	NA	Intergenic	Intergenic	-46103	Ranbp6	Ranbp6	NM_177721			Ranbp6			NA
Interval_941	chr18	31316789	31317282	+	0	NA	promoter-TSS (Rit2)	-promoter-TSS (Rit2)	93	Rit2	Rit2	NM_009065			Rit2			NA
Interval_1191	chr18	36186464	36186743	+	0	NA	intron (Nrg2, intron 1 of 9)	-intron (Nrg2, intron 1 of 9)	10788	Nrg2	Nrg2	NM_001167891			Nrg2			NA
Interval_5743	chr19	51860393	51861046	+	0	NA	Intergenic	Intergenic	-403578	Ins1	Ins1	NM_008386			Ins1			NA
Interval_2895	chr18	76224261	76224504	+	0	NA	Intergenic	Intergenic	-17319	Smad2	Smad2	NM_001252481			Smad2			NA
Interval_2191	chr18	61960232	61961157	+	0	NA	intron (Sh3tc2, intron 1 of 16)	-intron (Sh3tc2, intron 1 of 16)	7619	Sh3tc2	Sh3tc2	NM_172628			Sh3tc2			NA
Interval_5310	chr19	43524047	43525226	+	0	NA	promoter-TSS (Got1)	-promoter-TSS (Got1)	-31	Got1	Got1	NM_010324			Got1			NA
Interval_650	chr18	21211309	21211608	+	0	NA	intron (Garem1, intron 2 of 5)	-intron (Garem1, intron 2 of 5)	88681	Garem1	Garem1	NM_001033445			Garem1			NA
Interval_311	chr18	10609289	10610703	+	0	NA	intron (Esco1, intron 1 of 10)	-intron (Esco1, intron 1 of 10)	356	Esco1	Esco1	NM_001081222			Esco1			NA
Interval_1847	chr18	54937547	54938079	+	0	NA	intron (Zfp608, intron 2 of 8)	-intron (Zfp608, intron 2 of 8)	52367	Zfp608	Zfp608	NM_001360787			Zfp608			NA
Interval_1159	chr18	35822819	35824046	+	0	NA	Intergenic	Intergenic	-6356	Cxxc5	Cxxc5	NM_133687			Cxxc5			NA
Interval_3198	chr18	82721683	82722506	+	0	NA	Intergenic	Intergenic	1813	Mir5112	Mir5112	NR_039572			Mir5112			NA
Interval_5609	chr19	47090056	47091176	+	0	NA	promoter-TSS (Pdcd11)	-promoter-TSS (Pdcd11)	31	Atp5md	Atp5md	NM_023211			Atp5md			NA
Interval_1254	chr18	37805915	37807294	+	0	NA	exon (Pcdhgc3, exon 1 of 4)	-exon (Pcdhgc3, exon 1 of 4)	194	Pcdhgc3	Pcdhgc3	NM_033581			Pcdhgc3			NA
Interval_169	chr18	6465038	6465383	+	0	NA	intron (Epc1, intron 1 of 13)	-intron (Epc1, intron 1 of 13)	25436	Mir1893	Mir1893	NR_035446			Mir1893			NA
Interval_4490	chr19	24476602	24477969	+	0	NA	exon (Fam122a, exon 1 of 1)	-exon (Fam122a, exon 1 of 1)	189	Fam122a	Fam122a	NM_026520			Fam122a			NA
Interval_1604	chr18	46958381	46959522	+	0	NA	promoter-TSS (Commd10)	-promoter-TSS (Commd10)	75	Commd10	Commd10	NM_178377			Commd10			NA
Interval_129	chr18	5440325	5441514	+	0	NA	Intergenic	Intergenic	-106480	Zfp438	Zfp438	NM_178722			Zfp438			NA
Interval_5783	chr19	53198934	53199451	+	0	NA	intron (Add3, intron 1 of 15)	-intron (Add3, intron 1 of 14)	55195	Add3	Add3	NM_001164100			Add3			NA
Interval_4289	chr19	18577614	18579068	+	0	NA	Intergenic	Intergenic	53472	Ostf1	Ostf1	NM_017375			Ostf1			NA
Interval_2090	chr18	60905698	60906205	+	0	NA	Intergenic	Intergenic	-6040	Arsi	Arsi	NM_001038499			Arsi			NA
Interval_5264	chr19	42190477	42191118	+	0	NA	exon (Zfyve27, exon 12 of 12)	-exon (Zfyve27, exon 12 of 12)	11455	Sfrp5	Sfrp5	NM_018780			Sfrp5			NA
Interval_4925	chr19	34637053	34637466	+	0	NA	intron (Ifit1bl2, intron 1 of 2)	-intron (Ifit1bl2, intron 1 of 2)	3484	Ifit1bl2	Ifit1bl2	NM_001362130			Ifit1bl2			NA
Interval_3577	chr19	4793420	4794546	+	0	NA	promoter-TSS (Rbm4)	-promoter-TSS (Rbm4)	-82	Rbm4	Rbm4	NM_009032			Rbm4			NA
Interval_2550	chr18	69152132	69152716	+	0	NA	Intergenic	Intergenic	-130151	Mir145b	Mir145b	NR_105780			Mir145b			NA
Interval_2189	chr18	61952006	61953976	+	0	NA	promoter-TSS (Sh3tc2)	-promoter-TSS (Sh3tc2)	-84	Sh3tc2	Sh3tc2	NM_172628			Sh3tc2			NA
Interval_3870	chr19	8679199	8679837	+	0	NA	exon (Chrm1, exon 3 of 3)	-exon (Chrm1, exon 3 of 3)	15513	Chrm1	Chrm1	NM_001112697			Chrm1			NA
Interval_2299	chr18	64618353	64619130	+	0	NA	intron (Atp8b1, intron 1 of 27)	-intron (Atp8b1, intron 1 of 27)	42259	Atp8b1	Atp8b1	NM_001001488			Atp8b1			NA
Interval_1412	chr18	40244453	40244819	+	0	NA	Intergenic	Intergenic	-12363	Kctd16	Kctd16	NM_001371041			Kctd16			NA
Interval_5131	chr19	40392591	40392898	+	0	NA	intron (Sorbs1, intron 5 of 28)	-intron (Sorbs1, intron 5 of 22)	120992	Sorbs1	Sorbs1	NM_178362			Sorbs1			NA
Interval_3887	chr19	8837100	8838245	+	0	NA	exon (Bscl2, exon 1 of 12)	-exon (Bscl2, exon 1 of 12)	1574	Gng3	Gng3	NM_010316			Gng3			NA
Interval_5154	chr19	40587685	40589541	+	0	NA	promoter-TSS (Aldh18a1)	-promoter-TSS (Aldh18a1)	-150	Aldh18a1	Aldh18a1	NM_153554			Aldh18a1			NA
Interval_424	chr18	12912932	12913377	+	0	NA	intron (Osbpl1a, intron 5 of 27)	-intron (Osbpl1a, intron 5 of 27)	-58769	Impact	Impact	NM_001357396			Impact			NA
Interval_1379	chr18	39322623	39322878	+	0	NA	intron (Arhgap26, intron 20 of 21)	-intron (Arhgap26, intron 20 of 21)	166529	Nr3c1	Nr3c1	NM_001361212			Nr3c1			NA
Interval_4167	chr19	15964939	15965470	+	0	NA	intron (Cep78, intron 11 of 14)	-intron (Cep78, intron 11 of 14)	19785	Cep78	Cep78	NM_198019			Cep78			NA
Interval_3216	chr18	82888346	82889722	+	0	NA	Intergenic	Intergenic	-21845	Zfp516	Zfp516	NM_183033			Zfp516			NA
Interval_2350	chr18	65304341	65304705	+	0	NA	exon (Alpk2, exon 5 of 13)	-exon (Alpk2, exon 5 of 13)	-55602	Mir122b	Mir122b	NR_162794			Mir122b			NA
Interval_5378	chr19	44466184	44466437	+	0	NA	Intergenic	Intergenic	-27162	Wnt8b	Wnt8b	NM_011720			Wnt8b			NA
Interval_1305	chr18	38337731	38339496	+	0	NA	intron (Gnpda1, intron 1 of 6)	-intron (Gnpda1, intron 1 of 6)	380	Gnpda1	Gnpda1	NM_011937			Gnpda1			NA
Interval_2676	chr18	72358629	72358993	+	0	NA	Intergenic	Intergenic	-7742	Dcc	Dcc	NM_007831			Dcc			NA
Interval_5527	chr19	46309013	46309232	+	0	NA	intron (Nfkb2, intron 12 of 21)	-intron (Nfkb2, intron 13 of 22)	3427	Nfkb2	Nfkb2	NM_001177370			Nfkb2			NA
Interval_4885	chr19	33130133	33130644	+	0	NA	Intergenic	Intergenic	-26724	Mir3970	Mir3970	NR_039552			Mir3970			NA
Interval_3457	chr19	3466473	3466849	+	0	NA	intron (Ppp6r3, intron 19 of 22)	-intron (Ppp6r3, intron 18 of 21)	-52117	Gal	Gal	NM_010253			Gal			NA
